측정일자,측정소명,미세먼지(㎍/㎥)
20200215,광진구,57
20200215,성동구,59
20200215,중랑구,60
20200215,동대문구,63
20200215,성북구,63
20200215,도봉구,58
20200215,강북구,69
20200215,노원구,60
20200215,강서구,76
20200215,구로구,68
20200215,영등포구,63
20200215,동작구,71
20200215,관악구,65
20200215,금천구,67
20200215,양천구,73
20200215,강남구,59
20200215,서초구,74
20200215,송파구,63
20200215,강동구,64
20200216,중구,24
20200216,종로구,28
20200216,용산구,23
20200216,은평구,23
20200216,서대문구,21
20200216,마포구,22
20200216,광진구,22
20200216,성동구,25
20200216,중랑구,25
20200216,동대문구,23
20200216,성북구,24
20200216,도봉구,20
20200216,강북구,32
20200216,노원구,22
20200216,강서구,28
20200216,구로구,26
20200216,영등포구,26
20200216,동작구,31
20200216,관악구,24
20200216,금천구,25
20200216,양천구,26
20200216,강남구,23
20200216,서초구,27
20200216,송파구,23
20200216,강동구,27
20200217,중구,40
20200217,종로구,41
20200217,용산구,29
20200217,은평구,27
20200217,서대문구,26
20200217,마포구,29
20200217,광진구,25
20200217,성동구,32
20200217,중랑구,29
20200217,동대문구,28
20200217,성북구,25
20200217,도봉구,25
20200217,강북구,51
20200217,노원구,25
20200217,강서구,35
20200217,구로구,26
20200217,영등포구,28
20200217,동작구,41
20200217,관악구,32
20200217,금천구,32
20200217,양천구,38
20200217,강남구,31
20200217,서초구,31
20200217,송파구,29
20200217,강동구,37
20200218,중구,23
20200218,종로구,24
20200218,용산구,25
20200218,은평구,20
20200218,서대문구,21
20200218,마포구,22
20200218,광진구,16
20200218,성동구,22
20200218,중랑구,25
20200218,동대문구,20
20200218,성북구,21
20200218,도봉구,18
20200218,강북구,27
20200218,노원구,18
20200218,강서구,24
20200218,구로구,19
20200218,영등포구,23
20200218,동작구,29
20200218,관악구,24
20200218,금천구,25
20200218,양천구,26
20200218,강남구,21
20200218,서초구,27
20200218,송파구,23
20200218,강동구,26
20200219,중구,32
20200219,종로구,33
20200219,용산구,31
20200219,은평구,23
20200219,서대문구,28
20200219,마포구,28
20200219,광진구,31
20200219,성동구,29
20200219,중랑구,32
20200219,동대문구,28
20200219,성북구,31
20200219,도봉구,27
20200219,강북구,32
20200219,노원구,27
20200219,강서구,38
20200219,구로구,34
20200219,영등포구,32
20200219,동작구,37
20200219,관악구,35
20200219,금천구,32
20200219,양천구,37
20200219,강남구,30
20200219,서초구,47
20200219,송파구,31
20200219,강동구,39
20200220,중구,60
20200220,종로구,60
20200220,용산구,52
20200220,은평구,56
20200220,서대문구,59
20200220,마포구,52
20200220,광진구,55
20200220,성동구,56
20200220,중랑구,60
20200220,동대문구,54
20200220,성북구,58
20200220,도봉구,58
20200220,강북구,70
20200220,노원구,53
20200220,강서구,62
20200220,구로구,61
20200220,영등포구,56
20200220,동작구,70
20200220,관악구,58
20200220,금천구,61
20200220,양천구,65
20200220,강남구,54
20200220,서초구,75
20200220,송파구,51
20200220,강동구,63
20200221,중구,79
20200221,종로구,79
20200221,용산구,64
20200221,은평구,66
20200221,서대문구,76
20200221,마포구,66
20200221,광진구,75
20200221,성동구,76
